id,category,brand,name,model_name,image_url,monthly_price,max_card_discount,final_price,contracts,management,features,purposes,recommended,popular,source_url,verified_at,data_status,active,display_order
lg-tromm-dryer,세탁·건조,LG전자,트롬 AI 오브제컬렉션 건조기 25kg,RA25GJFB,/rental/products/lg-tromm-dryer.webp,,,,3년|4년|5년|6년,구독 케어,25kg|AI 건조|듀얼 인버터,신혼부부|아이 있는 집,false,false,https://www.lge.co.kr/,2026-07-18,catalog,true,511
lg-styler,세탁·건조,LG전자,스타일러 오브제컬렉션 5벌,SC5GMR80S,/rental/products/lg-styler.webp,,,,3년|4년|5년|6년,구독 케어,5벌+바지1|스팀|탈취,신혼부부|부모님,false,false,https://www.lge.co.kr/lg-styler,2026-07-18,catalog,true,512
samsung-ai-combo,세탁·건조,삼성전자,Bespoke AI 콤보 세탁건조기,WD90F25CHY,/rental/products/samsung-ai-combo.webp,,,,3년|4년|5년|6년,AI 구독 케어,세탁건조 올인원|AI 맞춤|대용량,신혼부부|아이 있는 집,true,false,https://www.samsung.com/sec/washing-machines/,2026-07-18,catalog,true,513
samsung-airdresser,세탁·건조,삼성전자,Bespoke 에어드레서 대용량,DF24CB9900CR,/rental/products/samsung-airdresser.webp,,,,3년|4년|5년|6년,AI 구독 케어,상의 5~9벌|하의 5벌|제트스팀,신혼부부|부모님,false,false,https://www.samsung.com/sec/airdresser/,2026-07-18,catalog,true,514
lg-dishwasher,주방가전,LG전자,디오스 오브제컬렉션 식기세척기 14인용,DUE6BGL,/rental/products/lg-dishwasher.webp,,,,3년|4년|5년|6년,구독 케어,14인용|트루스팀|자동 문열림,신혼부부|아이 있는 집,true,false,https://www.lge.co.kr/dishwashers,2026-07-18,catalog,true,515
sk-dishwasher,주방가전,SK매직,터치온 플러스 식기세척기,DWA81R0D,/rental/products/sk-dishwasher-dwa81r0d.webp,,,,3년|4년|5년,셀프관리|A/S 조건 확인,12인용|열풍 건조|자동 문열림,신혼부부|아이 있는 집,false,true,https://www.skmagic.com/,2026-07-18,catalog,true,516
lg-induction,주방가전,LG전자,디오스 오브제컬렉션 인덕션 3구,BEI3QRBLE,/rental/products/lg-induction.webp,,,,3년|4년|5년|6년,구독 케어,"3구|3,400W|안전 잠금",신혼부부|부모님,false,false,https://www.lge.co.kr/electric-ranges,2026-07-18,catalog,true,517
samsung-dishwasher,주방가전,삼성전자,Bespoke AI 식기세척기 빌트인 14인용,DW80F75K1USWS,/rental/products/samsung-dishwasher.webp,,,,3년|4년|5년|6년,AI 구독 케어,14인용|AI 맞춤 세척|100℃ 열풍건조+,신혼부부|아이 있는 집,false,false,https://www.samsung.com/sec/dishwashers/built-in-dw80f75k1usws-d2c/DW80F75K1USWS/,2026-07-18,catalog,true,518
cuckoo-pet-dryroom,생활가전,쿠쿠,넬로 펫 에어샤워 앤 드라이룸,ND-A0610FG,/rental/products/cuckoo-pet-dryroom.webp,,,,3년|4년|5년,필터 관리,펫 드라이|에어샤워|저소음,가성비|신혼부부,false,false,https://www.cuckoo.co.kr/,2026-07-18,catalog,true,519
sk-bidet-s34d,비데,SK매직,올클린 버블 세정 비데 리모컨형,BID-S34D,/rental/products/sk-bidet-s34d.webp,,,,3년|4년|5년,셀프관리|방문관리,버블 세정|리모컨|IPX6 방수,아이 있는 집|부모님,false,false,https://www.skmagic.com/,2026-07-18,catalog,true,520
cuckoo-cms-g210nw,안마의자,쿠쿠,레스티노 컴팩트 안마의자,CMS-G210NW,/rental/products/cuckoo-cms-g210nw.webp,41900,25000,16900,72개월,방문 설치|A/S 조건 확인,어깨 감지|리클라이너|17개 마사지 프로그램,부모님|신혼부부,false,true,https://www.cuckoo.co.kr/rental/productView?idx=370,2026-07-18,verified,true,521
cuckoo-cms-c10dr,안마의자,쿠쿠,레스티노 내추럴 릴렉스 안마의자,CMS-C10DR,/rental/products/cuckoo-cms-c10dr.webp,,,,렌탈 기간 확인,방문 설치|A/S 조건 확인,전신 마사지|온열|자동 체형 인식,부모님,false,false,https://www.cuckoo.co.kr/mall/productView?productNo=5011,2026-07-18,catalog,true,522
cuckoo-cms-f410cb,안마의자,쿠쿠,레스티노 안마의자 최고급형,CMS-F410CB,/rental/products/cuckoo-cms-f410cb.webp,,,,렌탈 기간 확인,방문 설치|A/S 조건 확인,4D 입체 마사지|전신 에어 마사지|무중력,부모님,false,false,https://www.cuckoo.co.kr/searchWord?searchWord=%EC%95%88%EB%A7%88%EC%9D%98%EC%9E%90,2026-07-18,catalog,true,523
cuckoo-cms-h410ww,안마의자,쿠쿠,레스티노 듀얼에어 안마의자,CMS-H410WW,/rental/products/cuckoo-cms-h410ww.webp,54900,25000,29900,60개월|72개월,방문 설치|A/S 조건 확인,듀얼 에어펌프|종아리 비빔|SL 프레임,부모님|신혼부부,false,false,https://www.cuckoo.co.kr/rental/productView?idx=435,2026-07-18,verified,true,524
cuckoo-cms-j410bk,안마의자,쿠쿠,레스티노 J체어 안마의자 블랙,CMS-J410BK,/rental/products/cuckoo-cms-j410bk.webp,52900,25000,27900,60개월|72개월,방문 설치|A/S 조건 확인,가구형 디자인|온열|리클라이너,신혼부부|부모님,false,false,https://www.cuckoo.co.kr/rental/productView?cateUid=30&idx=883,2026-07-18,verified,true,525
sk-dishwasher-dwa81r5b,주방가전,SK매직,트리플케어 식기세척기,DWA81R5B,/rental/products/sk-dishwasher-dwa81r5b.webp,,,,3년|4년|5년,셀프관리|A/S 조건 확인,12인용|열풍 건조|보관 케어,신혼부부|아이 있는 집,false,false,https://www.skmagic.com/,2026-07-18,catalog,true,526
lg-tromm-washer-fa25ejfb,세탁·건조,LG전자,트롬 AI 오브제컬렉션 세탁기 25kg,FA25EJFB,/rental/products/lg-tromm-washer.webp,,,,3년|4년|5년|6년,구독 케어,25kg|AI 세탁|자동 세제함,신혼부부|아이 있는 집,false,false,https://www.lge.co.kr/wash-tower/wa2525eezf,2026-07-18,catalog,true,527
lg-washtower-wa2525eyzf,세탁·건조,LG전자,트롬 AI 오브제컬렉션 워시타워 25/25kg 네이처베이지,WA2525EYZF,/rental/products/lg-washtower-wa2525eyzf.webp,,,,3년|4년|5년|6년,구독 케어,25kg 세탁|25kg 건조|AI 코스,신혼부부|아이 있는 집,false,false,https://www.lge.co.kr/wash-tower/wa2525eyzf,2026-07-18,catalog,true,528
